ID	Grade	Item	Hit	Miss	TL
26	3	1	20	10	15
26	3	2	24	6	15
26	3	3	17	13	12
26	3	4	25	5	10
26	3	5	25	5	12
26	3	6	20	10	10
26	3	7	20	10	11
26	3	8	22	8	11
26	3	9	26	4	15
26	3	10	25	5	15
26	3	11	20	10	11
26	3	12	21	9	10
26	3	13	20	10	12
26	3	14	22	8	10
26	3	15	19	11	15
26	3	16	22	8	11
26	3	17	19	11	14
26	3	18	25	5	10
26	3	19	18	12	13
26	3	20	18	12	14
27	3	1	30	0	15
27	3	2	19	11	15
27	3	3	25	5	12
27	3	4	18	12	10
27	3	5	22	8	12
27	3	6	22	8	10
27	3	7	19	11	11
27	3	8	20	10	11
27	3	9	20	10	15
27	3	10	27	3	15
27	3	11	27	3	11
27	3	12	21	9	10
27	3	13	22	8	12
27	3	14	21	9	10
27	3	15	28	2	15
27	3	16	28	2	11
27	3	17	30	0	14
27	3	18	26	4	10
27	3	19	29	1	13
27	3	20	10	20	14
28	3	1	20	10	15
28	3	2	17	13	15
28	3	3	16	14	12
28	3	4	21	9	10
28	3	5	17	13	12
28	3	6	21	9	10
28	3	7	16	14	11
28	3	8	17	13	11
28	3	9	18	12	15
28	3	10	20	10	15
28	3	11	20	10	11
28	3	12	14	16	10
28	3	13	15	15	12
28	3	14	20	10	10
28	3	15	25	5	15
28	3	16	16	14	11
28	3	17	18	12	14
28	3	18	18	12	10
28	3	19	16	14	13
28	3	20	18	12	14
29	3	1	20	10	15
29	3	2	17	13	15
29	3	3	19	11	12
29	3	4	15	15	10
29	3	5	16	14	12
29	3	6	20	10	10
29	3	7	19	11	11
29	3	8	13	17	11
29	3	9	20	10	15
29	3	10	19	11	15
29	3	11	11	19	11
29	3	12	23	7	10
29	3	13	20	10	12
29	3	14	18	12	10
29	3	15	27	0	15
29	3	16	17	13	11
29	3	17	20	10	14
29	3	18	19	11	10
29	3	19	18	12	13
29	3	20	18	12	14
30	3	1	23	7	15
30	3	2	16	14	15
30	3	3	18	12	12
30	3	4	17	13	10
30	3	5	16	14	12
30	3	6	17	13	10
30	3	7	17	13	11
30	3	8	20	10	11
30	3	9	12	18	15
30	3	10	23	7	15
30	3	11	22	8	11
30	3	12	20	10	10
30	3	13	17	13	12
30	3	14	21	9	10
30	3	15	25	5	15
30	3	16	25	5	11
30	3	17	20	10	14
30	3	18	24	6	10
30	3	19	19	11	13
30	3	20	27	3	14
31	3	1	30	0	15
31	3	2	14	16	15
31	3	3	21	9	12
31	3	4	17	13	10
31	3	5	19	11	12
31	3	6	16	14	10
31	3	7	19	11	11
31	3	8	16	14	11
31	3	9	20	10	15
31	3	10	22	8	15
31	3	11	17	13	11
31	3	12	20	10	10
31	3	13	21	9	12
31	3	14	16	14	10
31	3	15	24	6	15
31	3	16	20	10	11
31	3	17	21	9	14
31	3	18	17	13	10
31	3	19	19	11	13
31	3	20	16	14	14
32	3	1	29	1	15
32	3	2	27	3	15
32	3	3	12	18	12
32	3	4	20	10	10
32	3	5	15	15	12
32	3	6	17	13	10
32	3	7	13	17	11
32	3	8	22	8	11
32	3	9	19	11	15
32	3	10	18	12	15
32	3	11	17	13	11
32	3	12	22	8	10
32	3	13	19	11	12
32	3	14	24	6	10
32	3	15	23	7	15
32	3	16	20	10	11
32	3	17	16	14	14
32	3	18	16	14	10
32	3	19	14	16	13
32	3	20	25	5	14
33	3	1	30	0	15
33	3	2	25	5	15
33	3	3	22	8	12
33	3	4	24	6	10
33	3	5	22	8	12
33	3	6	23	7	10
33	3	7	26	4	11
33	3	8	25	5	11
33	3	9	22	8	15
33	3	10	25	5	15
33	3	11	26	4	11
33	3	12	25	5	10
33	3	13	22	8	12
33	3	14	25	5	10
33	3	15	27	3	15
33	3	16	27	3	11
33	3	17	21	9	14
33	3	18	26	4	10
33	3	19	28	2	13
33	3	20	27	3	14
34	3	1	23	7	15
34	3	2	22	8	15
34	3	3	19	11	12
34	3	4	25	5	10
34	3	5	23	7	12
34	3	6	24	6	10
34	3	7	15	15	11
34	3	8	20	10	11
34	3	9	22	8	15
34	3	10	20	10	15
34	3	11	17	13	11
34	3	12	22	8	10
34	3	13	23	7	12
34	3	14	20	10	10
34	3	15	18	12	15
34	3	16	18	12	11
34	3	17	20	10	14
34	3	18	25	5	10
34	3	19	25	5	13
34	3	20	16	14	14
35	3	1	14	16	15
35	3	2	22	8	15
35	3	3	16	14	12
35	3	4	25	5	10
35	3	5	22	8	12
35	3	6	16	14	10
35	3	7	19	11	11
35	3	8	17	13	11
35	3	9	20	10	15
35	3	10	20	10	15
35	3	11	20	10	11
35	3	12	24	6	10
35	3	13	20	10	12
35	3	14	20	10	10
35	3	15	21	9	15
35	3	16	22	8	11
35	3	17	19	11	14
35	3	18	20	10	10
35	3	19	17	13	13
35	3	20	25	5	14
36	3	1	19	11	15
36	3	2	10	20	15
36	3	3	18	12	12
36	3	4	12	18	10
36	3	5	17	13	12
36	3	6	21	9	10
36	3	7	20	10	11
36	3	8	18	12	11
36	3	9	20	10	15
36	3	10	21	9	15
36	3	11	16	14	11
36	3	12	14	16	10
36	3	13	20	10	12
36	3	14	18	12	10
36	3	15	16	14	15
36	3	16	16	14	11
36	3	17	16	14	14
36	3	18	15	15	10
36	3	19	15	15	13
36	3	20	15	15	14
37	3	1	18	12	15
37	3	2	16	14	15
37	3	3	23	7	12
37	3	4	21	9	10
37	3	5	18	12	12
37	3	6	26	4	10
37	3	7	18	12	11
37	3	8	21	9	11
37	3	9	24	6	15
37	3	10	26	4	15
37	3	11	21	9	11
37	3	12	28	2	10
37	3	13	25	5	12
37	3	14	26	4	10
37	3	15	21	9	15
37	3	16	26	4	11
37	3	17	24	6	14
37	3	18	23	7	10
37	3	19	23	7	13
37	3	20	24	6	14
38	3	1	24	6	15
38	3	2	19	11	15
38	3	3	16	14	12
38	3	4	24	6	10
38	3	5	18	12	12
38	3	6	21	9	10
38	3	7	21	9	11
38	3	8	26	4	11
38	3	9	28	2	15
38	3	10	28	2	15
38	3	11	28	2	11
38	3	12	26	4	10
38	3	13	26	4	12
38	3	14	24	6	10
38	3	15	22	8	15
38	3	16	24	6	11
38	3	17	17	13	14
38	3	18	23	7	10
38	3	19	20	10	13
38	3	20	20	10	14
39	3	1	18	12	15
39	3	2	19	11	15
39	3	3	14	16	12
39	3	4	15	15	10
39	3	5	17	13	12
39	3	6	20	10	10
39	3	7	17	13	11
39	3	8	21	9	11
39	3	9	20	10	15
39	3	10	21	9	15
39	3	11	17	13	11
39	3	12	25	5	10
39	3	13	19	11	12
39	3	14	21	9	10
39	3	15	21	9	15
39	3	16	16	14	11
39	3	17	21	9	14
39	3	18	19	11	10
39	3	19	15	15	13
39	3	20	19	11	14
40	3	1	20	10	15
40	3	2	12	18	15
40	3	3	13	17	12
40	3	4	18	12	10
40	3	5	13	17	12
40	3	6	20	10	10
40	3	7	12	18	11
40	3	8	15	15	11
40	3	9	24	6	15
40	3	10	20	10	15
40	3	11	12	18	11
40	3	12	16	14	10
40	3	13	17	13	12
40	3	14	21	9	10
40	3	15	15	15	15
40	3	16	17	13	11
40	3	17	21	9	14
40	3	18	17	13	10
40	3	19	16	14	13
40	3	20	15	15	14
41	3	1	18	12	15
41	3	2	18	12	15
41	3	3	21	9	12
41	3	4	20	10	10
41	3	5	18	12	12
41	3	6	16	14	10
41	3	7	19	11	11
41	3	8	19	11	11
41	3	9	17	13	15
41	3	10	21	9	15
41	3	11	19	11	11
41	3	12	27	3	10
41	3	13	21	9	12
41	3	14	18	12	10
41	3	15	22	8	15
41	3	16	24	6	11
41	3	17	20	10	14
41	3	18	26	4	10
41	3	19	18	12	13
41	3	20	19	11	14
42	3	1	20	10	15
42	3	2	17	13	15
42	3	3	25	5	12
42	3	4	19	11	10
42	3	5	21	9	12
42	3	6	20	10	10
42	3	7	18	12	11
42	3	8	20	10	11
42	3	9	28	2	15
42	3	10	25	5	15
42	3	11	22	8	11
42	3	12	28	2	10
42	3	13	28	2	12
42	3	14	24	6	10
42	3	15	28	2	15
42	3	16	20	10	11
42	3	17	28	2	14
42	3	18	21	9	10
42	3	19	28	2	13
42	3	20	25	5	14
43	3	1	27	3	15
43	3	2	21	9	15
43	3	3	24	6	12
43	3	4	19	11	10
43	3	5	28	2	12
43	3	6	26	4	10
43	3	7	22	8	11
43	3	8	25	5	11
43	3	9	21	9	15
43	3	10	25	5	15
43	3	11	26	4	11
43	3	12	26	4	10
43	3	13	25	5	12
43	3	14	22	8	10
43	3	15	21	9	15
43	3	16	21	9	11
43	3	17	21	9	14
43	3	18	21	9	10
43	3	19	20	10	13
43	3	20	22	8	14
44	3	1	13	17	15
44	3	2	16	14	15
44	3	3	9	21	12
44	3	4	15	15	10
44	3	5	14	16	12
44	3	6	16	14	10
44	3	7	7	23	11
44	3	8	18	12	11
44	3	9	16	14	15
44	3	10	18	12	15
44	3	11	13	17	11
44	3	12	21	9	10
44	3	13	15	15	12
44	3	14	15	15	10
44	3	15	13	17	15
44	3	16	17	13	11
44	3	17	16	14	14
44	3	18	13	17	10
44	3	19	16	14	13
44	3	20	17	13	14
45	3	1	21	9	15
45	3	2	17	13	15
45	3	3	14	16	12
45	3	4	16	14	10
45	3	5	16	14	12
45	3	6	13	17	10
45	3	7	13	17	11
45	3	8	17	13	11
45	3	9	25	5	15
45	3	10	18	12	15
45	3	11	19	11	11
45	3	12	23	7	10
45	3	13	14	16	12
45	3	14	21	9	10
45	3	15	13	17	15
45	3	16	19	11	11
45	3	17	12	18	14
45	3	18	17	13	10
45	3	19	14	16	13
45	3	20	24	6	14
46	3	1	13	17	15
46	3	2	20	10	15
46	3	3	16	14	12
46	3	4	13	17	10
46	3	5	14	16	12
46	3	6	21	9	10
46	3	7	16	14	11
46	3	8	22	8	11
46	3	9	12	18	15
46	3	10	16	14	15
46	3	11	16	14	11
46	3	12	23	7	10
46	3	13	11	9	12
46	3	14	12	18	10
46	3	15	14	16	15
46	3	16	21	9	11
46	3	17	17	13	14
46	3	18	13	17	10
46	3	19	19	11	13
46	3	20	20	10	14
47	3	1	12	18	15
47	3	2	15	15	15
47	3	3	13	17	12
47	3	4	11	19	10
47	3	5	13	17	12
47	3	6	17	13	10
47	3	7	14	16	11
47	3	8	15	15	11
47	3	9	22	8	15
47	3	10	19	11	15
47	3	11	14	16	11
47	3	12	17	13	10
47	3	13	16	14	12
47	3	14	14	16	10
47	3	15	16	14	15
47	3	16	8	22	11
47	3	17	12	18	14
47	3	18	12	18	10
47	3	19	11	19	13
47	3	20	12	18	14
48	3	1	17	13	15
48	3	2	17	13	15
48	3	3	24	6	12
48	3	4	29	1	10
48	3	5	18	12	12
48	3	6	19	11	10
48	3	7	22	8	11
48	3	8	21	9	11
48	3	9	12	18	15
48	3	10	28	2	15
48	3	11	21	9	11
48	3	12	27	3	10
48	3	13	26	4	12
48	3	14	22	8	10
48	3	15	19	11	15
48	3	16	21	9	11
48	3	17	26	4	14
48	3	18	17	13	10
48	3	19	23	7	13
48	3	20	23	7	14
49	3	1	20	10	15
49	3	2	20	10	15
49	3	3	17	13	12
49	3	4	23	7	10
49	3	5	21	9	12
49	3	6	22	8	10
49	3	7	22	8	11
49	3	8	20	10	11
49	3	9	24	6	15
49	3	10	24	6	15
49	3	11	24	6	11
49	3	12	28	2	10
49	3	13	28	2	12
49	3	14	29	1	10
49	3	15	20	10	15
49	3	16	24	6	11
